Image_Name,License_Plate
frame_0163_plate.jpg,KuE
frame_0164_plate.jpg,No Text Detected
frame_0165_plate.jpg,No Text Detected
frame_0166_plate.jpg,No Text Detected
frame_0167_plate.jpg,No Text Detected
frame_0168_plate.jpg,No Text Detected
frame_0169_plate.jpg,No Text Detected
frame_0170_plate.jpg,No Text Detected
frame_0171_plate.jpg,No Text Detected
frame_0172_plate.jpg,Iho5
frame_0173_plate.jpg,Dhos
frame_0174_plate.jpg,No Text Detected
frame_0175_plate.jpg,Kkhos
frame_0176_plate.jpg,Lo52
frame_0177_plate.jpg,LOEZ
frame_0178_plate.jpg,No Text Detected
frame_0179_plate.jpg,Ahos
frame_0180_plate.jpg,[0521
frame_0181_plate.jpg,[0527
frame_0182_plate.jpg,Khos 2
frame_0183_plate.jpg,Hsn
frame_0184_plate.jpg,Khos2zk
frame_0185_plate.jpg,Khos 21K
frame_0186_plate.jpg,KhOSZIK
frame_0187_plate.jpg,KHOSZZ
frame_0188_plate.jpg,KH5 27
frame_0189_plate.jpg,KHOS ZZK
frame_0190_plate.jpg,KHOS ZZK
frame_0191_plate.jpg,KHOsZZK
frame_0192_plate.jpg,HA
frame_0193_plate.jpg,KHOs ZZK
frame_0194_plate.jpg,LDSZk
frame_0195_plate.jpg,Khos Z7
frame_0196_plate.jpg,KHOSZIK
frame_0197_plate.jpg,KHOSZZK
frame_0198_plate.jpg,No Text Detected
frame_0199_plate.jpg,Klds
frame_0200_plate.jpg,Apos Jeq
frame_0201_plate.jpg,KaposUeoe
frame_0202_plate.jpg,Apo5 JEO
frame_0203_plate.jpg,Lpo5
frame_0204_plate.jpg,Apos JEO
frame_0205_plate.jpg,Apo5 JEO
frame_0206_plate.jpg,Apos eq
frame_0207_plate.jpg,Apos JEQ
frame_0208_plate.jpg,Lapos JEO
frame_0209_plate.jpg,Lapos JEO
frame_0210_plate.jpg,Lapos JEO
frame_0211_plate.jpg,Apos eo
frame_0212_plate.jpg,No Text Detected
frame_0213_plate.jpg,No Text Detected
frame_0214_plate.jpg,No Text Detected
frame_0215_plate.jpg,ne
frame_0216_plate.jpg,Vroze
frame_0217_plate.jpg,Vmzed
frame_0218_plate.jpg,LrozF
frame_0219_plate.jpg,LadzFkO
frame_0220_plate.jpg,LROZ FKO
frame_0221_plate.jpg,VRo? Fkd
frame_0222_plate.jpg,Loz ekd
frame_0223_plate.jpg,No Text Detected
frame_0224_plate.jpg,No Text Detected
frame_0225_plate.jpg,JOZd
frame_0226_plate.jpg,No Text Detected
frame_0227_plate.jpg,No Text Detected
frame_0228_plate.jpg,No Text Detected
frame_0229_plate.jpg,No Text Detected
frame_0230_plate.jpg,HHl
frame_0231_plate.jpg,Lroz ed
frame_0232_plate.jpg,Laqz fkd
frame_0233_plate.jpg,CROz FKD
frame_0234_plate.jpg,Unoz fKD
frame_0235_plate.jpg,Lid
frame_0236_plate.jpg,LRoz FKO}
frame_0237_plate.jpg,LRoz FKO
frame_0238_plate.jpg,Lroz FKD
frame_0239_plate.jpg,LRoz FKO
frame_0240_plate.jpg,[e
frame_0241_plate.jpg,No Text Detected
frame_0242_plate.jpg,No Text Detected
frame_0243_plate.jpg,No Text Detected
frame_0244_plate.jpg,No Text Detected
frame_0245_plate.jpg,No Text Detected
frame_0246_plate.jpg,TETGINB
frame_0247_plate.jpg,No Text Detected
frame_0248_plate.jpg,No Text Detected
frame_0249_plate.jpg,DGld
frame_0250_plate.jpg,Wrqz Fkd
frame_0251_plate.jpg,LgkD
frame_0252_plate.jpg,LtetDq
frame_0253_plate.jpg,lexeinq
frame_0254_plate.jpg,EGkdD
frame_0255_plate.jpg,[etiNdD
frame_0256_plate.jpg,lkD
frame_0257_plate.jpg,lWd
frame_0258_plate.jpg,ikbd
frame_0259_plate.jpg,[eikbd
frame_0260_plate.jpg,[eibq
frame_0261_plate.jpg,lkkdd
frame_0262_plate.jpg,LvekdD
frame_0263_plate.jpg,No Text Detected
frame_0264_plate.jpg,Leiked
frame_0265_plate.jpg,Lekeq
frame_0266_plate.jpg,Itkbd
frame_0267_plate.jpg,HEleLkEG
frame_0268_plate.jpg,eiked
frame_0269_plate.jpg,@ekdd
frame_0270_plate.jpg,HexslnbG
frame_0271_plate.jpg,edq
frame_0272_plate.jpg,Eidd
frame_0273_plate.jpg,Eeibo
frame_0274_plate.jpg,Jeikdd
frame_0275_plate.jpg,Heeidd
frame_0276_plate.jpg,HexeinbD
frame_0277_plate.jpg,Eekbd
frame_0278_plate.jpg,HExelnbq
frame_0279_plate.jpg,EGiNbd
frame_0280_plate.jpg,LeeirNbd
frame_0281_plate.jpg,Leteinbq
frame_0282_plate.jpg,LeeINbD
frame_0283_plate.jpg,HexeINBG
frame_0284_plate.jpg,LexsINeq
frame_0285_plate.jpg,exeineq
frame_0286_plate.jpg,exeinbq
frame_0287_plate.jpg,exeiNeD
frame_0288_plate.jpg,HexeieD
frame_0289_plate.jpg,JexeikdD
frame_0290_plate.jpg,JexeiNbD
frame_0291_plate.jpg,ExeB
frame_0292_plate.jpg,EYGINd
frame_0293_plate.jpg,EeweinbD
frame_0294_plate.jpg,Jexenbq
frame_0295_plate.jpg,JexekEq
frame_0296_plate.jpg,etenq
frame_0297_plate.jpg,LexebG
frame_0298_plate.jpg,LexekkibD
frame_0299_plate.jpg,Lleindq
frame_0300_plate.jpg,Lexelkeq
frame_0301_plate.jpg,eleieq
frame_0302_plate.jpg,LExGlNbq
frame_0303_plate.jpg,Letecdq
frame_0304_plate.jpg,ExeunbG
frame_0305_plate.jpg,exeIbq
frame_0306_plate.jpg,Eeinbq
frame_0307_plate.jpg,JexeINEq
frame_0308_plate.jpg,Jeleidq
frame_0309_plate.jpg,exekWq
frame_0310_plate.jpg,EtbiNbd
frame_0311_plate.jpg,Eeinbq
frame_0312_plate.jpg,Etindq
frame_0313_plate.jpg,Eeikbq
frame_0314_plate.jpg,Lexeindq
frame_0315_plate.jpg,Eleinbq
frame_0316_plate.jpg,LexeInEG
frame_0317_plate.jpg,IexsiNbq
frame_0318_plate.jpg,ExeiINeq
frame_0319_plate.jpg,Eeindq
frame_0320_plate.jpg,LexsICNEq
frame_0321_plate.jpg,LexelndG
frame_0322_plate.jpg,Emsinbq
frame_0323_plate.jpg,Leleindd
frame_0324_plate.jpg,EEeind
frame_0325_plate.jpg,HeyeikdG
frame_0326_plate.jpg,LExsinbq
frame_0327_plate.jpg,LeveLNBG
frame_0328_plate.jpg,Eeinbq
frame_0329_plate.jpg,Eeikdd
frame_0330_plate.jpg,LexGINbD
frame_0331_plate.jpg,LeyeUNBG
