Image_Name,License_Plate
frame_0140_plate.jpg,NOTEXTDETECTED
frame_0141_plate.jpg,NOTEXTDETECTED
frame_0142_plate.jpg,NOTEXTDETECTED
frame_0143_plate.jpg,NOTEXTDETECTED
frame_0144_plate.jpg,NOTEXTDETECTED
frame_0145_plate.jpg,NOTEXTDETECTED
frame_0146_plate.jpg,NOTEXTDETECTED
frame_0147_plate.jpg,NOTEXTDETECTED
frame_0148_plate.jpg,NOTEXTDETECTED
frame_0149_plate.jpg,NOTEXTDETECTED
frame_0150_plate.jpg,NOTEXTDETECTED
frame_0151_plate.jpg,NOTEXTDETECTED
frame_0152_plate.jpg,NOTEXTDETECTED
frame_0153_plate.jpg,NOTEXTDETECTED
frame_0154_plate.jpg,NOTEXTDETECTED
frame_0155_plate.jpg,NOTEXTDETECTED
frame_0156_plate.jpg,NOTEXTDETECTED
frame_0157_plate.jpg,NOTEXTDETECTED
frame_0158_plate.jpg,KRO5
frame_0159_plate.jpg,KKS
frame_0160_plate.jpg,KHOSZ
frame_0161_plate.jpg,COS
frame_0162_plate.jpg,KHOSZ
frame_0163_plate.jpg,KUE
frame_0164_plate.jpg,NOTEXTDETECTED
frame_0165_plate.jpg,NOTEXTDETECTED
frame_0166_plate.jpg,NOTEXTDETECTED
frame_0167_plate.jpg,NOTEXTDETECTED
frame_0168_plate.jpg,NOTEXTDETECTED
frame_0169_plate.jpg,NOTEXTDETECTED
frame_0170_plate.jpg,NOTEXTDETECTED
frame_0171_plate.jpg,NOTEXTDETECTED
frame_0172_plate.jpg,IHO5
frame_0173_plate.jpg,DHOS
frame_0174_plate.jpg,NOTEXTDETECTED
frame_0175_plate.jpg,KKHOS
frame_0176_plate.jpg,LO52
frame_0177_plate.jpg,LOEZ
frame_0178_plate.jpg,NOTEXTDETECTED
frame_0179_plate.jpg,AHOS
frame_0180_plate.jpg,0521
frame_0181_plate.jpg,0527
frame_0182_plate.jpg,KHOS2
frame_0183_plate.jpg,HSN
frame_0184_plate.jpg,KHOS2ZK
frame_0185_plate.jpg,KHOS21K
frame_0186_plate.jpg,KHOSZIK
frame_0187_plate.jpg,KHOSZZ
frame_0188_plate.jpg,KH527
frame_0189_plate.jpg,KHOSZZK
frame_0190_plate.jpg,KHOSZZK
frame_0191_plate.jpg,KHOSZZK
frame_0192_plate.jpg,HA
frame_0193_plate.jpg,KHOSZZK
frame_0194_plate.jpg,LDSZK
frame_0195_plate.jpg,KHOSZ7
frame_0196_plate.jpg,KHOSZIK
